Overwriting model state from underfit_StandardCNN_mame.pth
Epoch 001/50: train_loss=3.3677 acc=0.033 | val_loss=3.3676 acc=0.017
Epoch 002/50: train_loss=3.3676 acc=0.032 | val_loss=3.3676 acc=0.021
Epoch 003/50: train_loss=3.3675 acc=0.036 | val_loss=3.3676 acc=0.026
Epoch 004/50: train_loss=3.3676 acc=0.032 | val_loss=3.3675 acc=0.039
Epoch 005/50: train_loss=3.3676 acc=0.033 | val_loss=3.3675 acc=0.044
Epoch 006/50: train_loss=3.3676 acc=0.034 | val_loss=3.3675 acc=0.044
Epoch 007/50: train_loss=3.3675 acc=0.034 | val_loss=3.3675 acc=0.044
Epoch 008/50: train_loss=3.3675 acc=0.034 | val_loss=3.3675 acc=0.044
Epoch 009/50: train_loss=3.3675 acc=0.033 | val_loss=3.3674 acc=0.044
Epoch 010/50: train_loss=3.3674 acc=0.035 | val_loss=3.3674 acc=0.044
Epoch 011/50: train_loss=3.3674 acc=0.033 | val_loss=3.3674 acc=0.044
Epoch 012/50: train_loss=3.3674 acc=0.031 | val_loss=3.3674 acc=0.044
Epoch 013/50: train_loss=3.3674 acc=0.035 | val_loss=3.3674 acc=0.044
Epoch 014/50: train_loss=3.3674 acc=0.035 | val_loss=3.3674 acc=0.044
Epoch 015/50: train_loss=3.3674 acc=0.033 | val_loss=3.3674 acc=0.044
Epoch 016/50: train_loss=3.3674 acc=0.034 | val_loss=3.3673 acc=0.044
Epoch 017/50: train_loss=3.3673 acc=0.032 | val_loss=3.3673 acc=0.044
Epoch 018/50: train_loss=3.3673 acc=0.035 | val_loss=3.3673 acc=0.044
Epoch 019/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 020/50: train_loss=3.3673 acc=0.033 | val_loss=3.3673 acc=0.043
Epoch 021/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 022/50: train_loss=3.3673 acc=0.034 | val_loss=3.3673 acc=0.043
Epoch 023/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 024/50: train_loss=3.3673 acc=0.034 | val_loss=3.3673 acc=0.043
Epoch 025/50: train_loss=3.3673 acc=0.033 | val_loss=3.3673 acc=0.043
Epoch 026/50: train_loss=3.3673 acc=0.034 | val_loss=3.3673 acc=0.043
Epoch 027/50: train_loss=3.3673 acc=0.035 | val_loss=3.3673 acc=0.043
Epoch 028/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 029/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 030/50: train_loss=3.3673 acc=0.035 | val_loss=3.3673 acc=0.043
Epoch 031/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.043
Epoch 032/50: train_loss=3.3673 acc=0.038 | val_loss=3.3673 acc=0.043
Epoch 033/50: train_loss=3.3673 acc=0.038 | val_loss=3.3673 acc=0.043
Epoch 034/50: train_loss=3.3673 acc=0.036 | val_loss=3.3673 acc=0.042
Epoch 035/50: train_loss=3.3673 acc=0.037 | val_loss=3.3673 acc=0.042
Epoch 036/50: train_loss=3.3673 acc=0.038 | val_loss=3.3673 acc=0.042
Epoch 037/50: train_loss=3.3672 acc=0.037 | val_loss=3.3673 acc=0.042
Epoch 038/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.042
Epoch 039/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.042
Epoch 040/50: train_loss=3.3672 acc=0.035 | val_loss=3.3673 acc=0.043
Epoch 041/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.043
Epoch 042/50: train_loss=3.3672 acc=0.036 | val_loss=3.3673 acc=0.044
Epoch 043/50: train_loss=3.3672 acc=0.036 | val_loss=3.3673 acc=0.047
Epoch 044/50: train_loss=3.3672 acc=0.036 | val_loss=3.3673 acc=0.047
Epoch 045/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.047
Epoch 046/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.047
Epoch 047/50: train_loss=3.3672 acc=0.036 | val_loss=3.3673 acc=0.047
Epoch 048/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.047
Epoch 049/50: train_loss=3.3672 acc=0.039 | val_loss=3.3673 acc=0.048
Epoch 050/50: train_loss=3.3672 acc=0.038 | val_loss=3.3673 acc=0.048
Loading best model for final evaluation...
Test loss: 3.3673 | Test acc: 0.026
